Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
6.797003714045125600e-01, 1.530095569470376615e+00, -6.809881484900622617e+00, -9.530986546220674427e+00, -6.809881484900622617e+00, -9.530986546220674427e+00
1.204462336891258367e+00, 2.305695240670838420e+00, -6.789694523982639396e+00, -9.549337875290209610e+00, -6.860959967548245331e+00, -9.480114220081713228e+00
1.461465540967637367e+00, 2.700034996221047923e+00, -6.769085754913643171e+00, -9.567210019523709974e+00, -6.908644174860009812e+00, -9.426064554804939988e+00
1.501673668744455403e+00, 2.755416153738965424e+00, -6.748168985805617304e+00, -9.584723609127104638e+00, -6.952935939515936248e+00, -9.369191884356848021e+00
1.734466313973955565e+00, 3.113837088129361774e+00, -6.726907947771481489e+00, -9.601819460564220421e+00, -6.992938747143655043e+00, -9.309232115199602475e+00
1.874070099866347094e+00, 3.332388503701929849e+00, -6.705153752657359689e+00, -9.618279984465907262e+00, -7.028307390700558877e+00, -9.246432923620368172e+00
1.832934924152313627e+00, 3.279966791710205332e+00, -6.683112870250670134e+00, -9.634354716330797430e+00, -7.059371014514027820e+00, -9.181388991432694269e+00
1.989784100688356761e+00, 3.529973704338721152e+00, -6.660839374560890036e+00, -9.650104630969844166e+00, -7.084440102714759213e+00, -9.113814363490106985e+00
2.152890663731249266e+00, 3.787362627875237475e+00, -6.638206206755835836e+00, -9.665337490433334011e+00, -7.104483870331337769e+00, -9.044582289443088285e+00
2.176275382400945091e+00, 3.829134695610314498e+00, -6.615129358971540086e+00, -9.679888710194235912e+00, -7.118018269553546773e+00, -8.973792494379150497e+00
2.137378195404119108e+00, 3.771608421052166094e+00, -6.591946016431989186e+00, -9.694268128418471520e+00, -7.125645568272447328e+00, -8.902133903994403852e+00
2.130622435485376887e+00, 3.770940522372892456e+00, -6.568425656661668555e+00, -9.708082722042449930e+00, -7.127021888057535115e+00, -8.830075658325126753e+00
2.245020696341268440e+00, 3.956601231018027409e+00, -6.544564441022270529e+00, -9.721306176532625187e+00, -7.122049253517452883e+00, -8.758184641448057306e+00
2.394460714775221266e+00, 4.192663293571276206e+00, -6.520639602737697160e+00, -9.734414959457089012e+00, -7.111237663679252918e+00, -8.686927273375813385e+00
2.540335453296175494e+00, 4.422951067340566311e+00, -6.496431527346521406e+00, -9.746995475272479226e+00, -7.093680522537177069e+00, -8.617025875644912958e+00
2.682456016526870268e+00, 4.647199544512161218e+00, -6.471853911087671385e+00, -9.758835182486112814e+00, -7.070981577137914087e+00, -8.548623526389247829e+00
2.704348761731143469e+00, 4.682630198644347708e+00, -6.447078063374013013e+00, -9.770252952208442920e+00, -7.042361114416343604e+00, -8.482475109712902750e+00
2.590660964247215592e+00, 4.509894319658234174e+00, -6.422269080512325701e+00, -9.781598526852757658e+00, -7.010332023949793268e+00, -8.417884132362877025e+00
2.571759074204976514e+00, 4.481977650017276993e+00, -6.397213922602628777e+00, -9.792386387181904794e+00, -6.974206028161746396e+00, -8.355511993868391940e+00
2.649362047209204540e+00, 4.606466006737146124e+00, -6.371893676047552191e+00, -9.802538069881585159e+00, -6.935047559355465907e+00, -8.294976563999034269e+00
2.777726238106824841e+00, 4.812253895925562297e+00, -6.346342426645211532e+00, -9.812098081022814000e+00, -6.893010621399596083e+00, -8.236423923468676023e+00
2.904061719631756855e+00, 5.014711871899596218e+00, -6.320817856140544144e+00, -9.821728074983385071e+00, -6.850277476042051283e+00, -8.178387973339455996e+00
2.998631389133468605e+00, 5.170261375627833722e+00, -6.295113230776646418e+00, -9.830869876076594238e+00, -6.812547354742488182e+00, -8.116955900691493753e+00
3.039286861719452393e+00, 5.246492509989014508e+00, -6.269195793447561726e+00, -9.839388131390066405e+00, -6.780459340732580387e+00, -8.052520430955869557e+00
3.049773700076886751e+00, 5.274770061958857781e+00, -6.243098048420746338e+00, -9.847334645933399244e+00, -6.747124527978725084e+00, -7.988622095568675974e+00
3.067177511059569373e+00, 5.307086687552587279e+00, -6.216837219704922646e+00, -9.854723192788906516e+00, -6.708701942137174079e+00, -7.927651677997284096e+00
3.050127099791489993e+00, 5.274264385640583086e+00, -6.190528417613768042e+00, -9.861941321021022944e+00, -6.665511374065801853e+00, -7.869949453754256474e+00
3.015627540493644343e+00, 5.213756559453908146e+00, -6.164175743938436369e+00, -9.868994920035378371e+00, -6.618018611206439417e+00, -7.815722151748161650e+00
3.033119766065110579e+00, 5.238219536281703448e+00, -6.137689865707489645e+00, -9.875530400577387624e+00, -6.568112805946604738e+00, -7.763721231729034500e+00
3.062228299504582196e+00, 5.282821608503591726e+00, -6.111081631089231081e+00, -9.881549246410099130e+00, -6.528888534157365697e+00, -7.703870499792891735e+00
3.091876275808409513e+00, 5.329518060684688585e+00, -6.084364641268577678e+00, -9.887066453768941443e+00, -6.495549725687431497e+00, -7.640186198303784870e+00
