Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
4.703193920148132645e-01, 1.622550490569956594e+00, 5.289062020443457968e-01, -1.364248543995509877e-01, 5.289062020443457968e-01, -1.364248543995509877e-01
5.992133614237592498e-01, 1.773446501745416404e+00, 4.872188634703040755e-01, -1.356705304367672171e-01, 5.796856482981138647e-01, -1.453785833433957064e-01
7.236812632583159433e-01, 1.918297944505072961e+00, 4.455383809461512801e-01, -1.363526685020477192e-01, 6.242874431190360562e-01, -1.706458364673524020e-01
8.440297480505852823e-01, 2.058546709188873169e+00, 4.041411092001777061e-01, -1.409731017752185456e-01, 6.659303280835768835e-01, -2.008104489631357958e-01
9.571837906603751778e-01, 2.200253563021714598e+00, 3.638284578729241714e-01, -1.513036374599781297e-01, 6.632550491616221455e-01, -2.484704852641635431e-01
1.067346044796688487e+00, 2.338625261727781179e+00, 3.253000801612880299e-01, -1.670912527715796847e-01, 6.220239135228233796e-01, -2.791158646148753641e-01
1.175729126686115400e+00, 2.473888119594855883e+00, 2.901195465394222905e-01, -1.892172760857829261e-01, 5.745725408988709981e-01, -2.994027440566187637e-01
1.283399433161070524e+00, 2.604925333909274610e+00, 2.739343369588884691e-01, -2.242898973791295769e-01, 5.239512299089827962e-01, -3.098067480543048591e-01
1.388791478444572292e+00, 2.733746441967889851e+00, 2.903683631635925466e-01, -2.586471584852784167e-01, 4.729024136260717714e-01, -3.183362756450254238e-01
1.489129540821408471e+00, 2.866400172876281349e+00, 3.222756019592693533e-01, -2.812820619078937878e-01, 5.150613186643647756e-01, -3.371916660001873511e-01
1.588643781848970704e+00, 2.995061530431242236e+00, 2.882400783488684448e-01, -3.053334431826008055e-01, 5.504632741589235989e-01, -3.729749653877123539e-01
1.688649120621153576e+00, 3.117974881301421419e+00, 2.510238923493400831e-01, -3.234000692594634074e-01, 5.537380047577947773e-01, -4.206305761250692665e-01
1.785261899423826515e+00, 3.243708818307116104e+00, 2.140110981776892907e-01, -3.418617445652027409e-01, 5.208237251221881081e-01, -4.580639539626618628e-01
1.882351076322472894e+00, 3.364388484702677928e+00, 1.865476003107430780e-01, -3.717574390989837885e-01, 4.750393701467040541e-01, -4.819656453741579805e-01
1.982841263018172873e+00, 3.475253355510270037e+00, 1.791919564489236616e-01, -4.098497951931832639e-01, 4.295109145650627958e-01, -5.065099028232319389e-01
2.081533627301050515e+00, 3.586042239946048316e+00, 1.881912803327326911e-01, -4.503147656071435079e-01, 4.451651639980513941e-01, -5.455125599232006905e-01
2.177474375832880948e+00, 3.698199448772630404e+00, 1.719118930917991339e-01, -4.775041650807437810e-01, 4.468165167851269604e-01, -5.952560157346008518e-01
2.244194984224297418e+00, 3.788334855107509114e+00, 1.344530465328619417e-01, -4.950300272712808702e-01, 4.168322232533333560e-01, -6.368737830638901976e-01
2.256245333122719465e+00, 3.836535594916474334e+00, 1.036823934622212173e-01, -5.224777813966479112e-01, 3.724169979864585533e-01, -6.626858294383710657e-01
2.333860285369250054e+00, 3.930825165407024979e+00, 8.347945853029030416e-02, -5.578546112550862857e-01, 3.391878475225523215e-01, -6.991666308916908434e-01
2.427164937104591136e+00, 4.036263472389013174e+00, 8.511393293225860690e-02, -5.989837867956869788e-01, 3.433125486558554207e-01, -7.489895507265321717e-01
2.519407097679509988e+00, 4.141222261459213350e+00, 8.813892317226408590e-02, -6.306054780965714146e-01, 3.250518206275719857e-01, -7.965069294018809476e-01
2.578363207604037921e+00, 4.196226047671557602e+00, 5.044049026073806757e-02, -6.476712752143862772e-01, 2.885995157328076210e-01, -8.328268956631297293e-01
2.612253567449770220e+00, 4.226603894734000555e+00, 1.897713889645472746e-02, -6.746145801823510979e-01, 2.424262450355735010e-01, -8.552317054692145648e-01
2.654021240573083862e+00, 4.289389628238135188e+00, -5.202551751553011368e-03, -7.082356687303895670e-01, 2.363398567990279142e-01, -8.985311680892601460e-01
2.704731063286401227e+00, 4.357724442084371930e+00, -1.277558858671530399e-02, -7.487621309749913356e-01, 2.291168637234511085e-01, -9.492117420134635886e-01
2.773300975628919307e+00, 4.438348556069229289e+00, -1.223483315762783144e-02, -7.855158180675840818e-01, 2.030266026677099989e-01, -9.930842871573160036e-01
