Time,Rotation,Torque,Folder,Theta,TestTorque,DR
0,0,0.0241984613239765,0-180,0,0.0241984613239765,-0.004188809543848
0.04,0,0.0200096517801285,0-180,0,0.0200096517801285,0.0090905465185642
0.12,0.00202238559730006,0.0291001982986927,0-180,0,0.0291001982986927,0.120074488222599
0.24,0.0435912609101017,0.149174686521292,0-180,0,0.149174686521292,0.1594721339643
0.32,0.0842213630677016,0.308646820485592,0-180,0,0.308646820485592,0.146650522947311
0.36,0.124508142471303,0.455297343432903,0-180,0,0.455297343432903,0.201246980577708
0.44,0.210537314415003,0.656544324010611,0-180,0,0.656544324010611,0.160558987408876
0.52,0.284877419471801,0.817103311419487,0-180,0,0.817103311419487,0.0992858782410621
0.56,0.325834751129204,0.916389189660549,0-180,0,0.916389189660549,0.0528983771800999
0.6,0.362318158149701,0.969287566840649,0-180,0,0.969287566840649,0.104849506169561
0.68,0.440150499343904,1.07413707301021,0-180,0,1.07413707301021,0.10633077472448
0.76,0.506165027618401,1.18046784773469,0-180,0,1.18046784773469,0.13486621901393
0.84,0.582892298698503,1.31533406674862,0-180,0,1.31533406674862,0.13353424146771
0.92,0.658460855484002,1.44886830821633,0-180,0,1.44886830821633,0.1305009238422
1,0.738696455955502,1.57936923205853,0-180,0,1.57936923205853,0.19889120012521
1.12,0.882897377014203,1.77826043218374,0-180,0,1.77826043218374,0.18402673304081
1.24,0.990196466445902,1.96228716522455,0-180,0,1.96228716522455,0.12984834611416
1.32,1.0691982507706,2.09213551133871,0-180,0,2.09213551133871,0.14465879648924
1.4,1.1584085226059,2.23679430782795,0-180,0,2.23679430782795,0.18097069114447
1.48,1.2478548288346,2.41776499897242,0-180,0,2.41776499897242,0.0557858496904302
1.52,1.2904858589173,2.47355084866285,0-180,0,2.47355084866285,0.0580079853534698
1.56,1.3247537612915,2.53155883401632,0-180,0,2.53155883401632,0.15422012656927
1.64,1.4105361700058,2.68577896058559,0-180,0,2.68577896058559,0.12923981994391
1.72,1.4981532096863,2.8150187805295,0-180,0,2.8150187805295,0.18437281250954
1.8,1.5880018472672,2.99939159303904,0-180,0,2.99939159303904,0.10719783604145
1.88,1.6715151071549,3.10658942908049,0-180,0,3.10658942908049,0.10972153395414
1.96,1.757994890213,3.21631096303463,0-180,0,3.21631096303463,0.12153200805187
2.08,1.8763285875321,3.3378429710865,0-180,0,3.3378429710865,0.1543790102005
2.2,1.9897645711899,3.492221981287,0-180,0,3.492221981287,0.13086833059788
2.28,2.0704025030136,3.62309031188488,0-180,0,3.62309031188488,0.15855990350246
2.36,2.1575796604157,3.78165021538734,0-180,0,3.78165021538734,0.13629049062729
2.44,2.2457867860794,3.91794070601463,0-180,0,3.91794070601463,0.159402564167979
2.52,2.3369765281677,4.07734327018261,0-180,0,4.07734327018261,0.1786794513464
2.64,2.4615275859833,4.25602272152901,0-180,0,4.25602272152901,0.117801502346991
2.72,2.5417631864548,4.373824223876,0-180,0,4.373824223876,0.116422027349469
2.8,2.6301795244217,4.49024625122547,0-180,0,4.49024625122547,0.131922215223311
2.88,2.7078992128372,4.62216846644878,0-180,0,4.62216846644878,0.15100501477719
3,2.8312003612519,4.77317348122597,0-180,0,4.77317348122597,0.12426115572452
3.08,2.9065489768982,4.89743463695049,0-180,0,4.89743463695049,0.1186415553093
3.16,2.9896974563599,5.01607619225979,0-180,0,5.01607619225979,0.11068135499954
3.24,3.0689245462418,5.12675754725933,0-180,0,5.12675754725933,0.101618468761441
3.32,3.1475239992142,5.22837601602077,0-180,0,5.22837601602077,0.12732855975628
3.4,3.2305866479874,5.35570457577705,0-180,0,5.35570457577705,0.14958046376706
3.52,3.3453261852265,5.50528503954411,0-180,0,5.50528503954411,0.11696927249431
3.6,3.4234964847565,5.62225431203842,0-180,0,5.62225431203842,0.124581530690191
3.68,3.4984374046326,5.74683584272861,0-180,0,5.74683584272861,0.12645833194256
3.76,3.5812103748322,5.87329417467117,0-180,0,5.87329417467117,0.10066479444504
3.84,3.6551374197006,5.97395896911621,0-180,0,5.97395896911621,0.11332333087921
3.92,3.7321597337723,6.08728229999542,0-180,0,6.08728229999542,0.12454390525818
4,3.8109523057938,6.2118262052536,0-180,0,6.2118262052536,0.127360224723819
4.12,3.920681476593,6.33918642997742,0-180,0,6.33918642997742,0.11565610766411
4.2,4.0076923370362,6.45484253764153,0-180,0,6.45484253764153,0.1578614115715
4.32,4.1253662109375,6.61270394921303,0-180,0,6.61270394921303,0.16322657465935
4.44,4.2416989803314,6.77593052387238,0-180,0,6.77593052387238,0.14740824699401
4.56,4.3545073270798,6.92333877086639,0-180,0,6.92333877086639,0.1402460038662
4.68,4.4653415679932,7.06358477473259,0-180,0,7.06358477473259,0.0844396650791204
