Time,Rotation,Torque,Folder,Theta,TestTorque,DR
0,0,0.00248802825808525,0-180,0,0.00248802825808525,0.0716187991201877
0.32,0.122791528701804,0.074106827378273,0-180,0,0.074106827378273,0.074837263673544
0.44,0.251001119613598,0.148944091051817,0-180,0,0.148944091051817,0.063838250935078
0.6,0.378803014755199,0.212782341986895,0-180,0,0.212782341986895,0.07644472643733
0.76,0.525262355804401,0.289227068424225,0-180,0,0.289227068424225,0.019771605730057
0.88,0.668374300003002,0.308998674154282,0-180,0,0.308998674154282,0.09402735158801
0.96,0.776333212852499,0.403026025742292,0-180,0,0.403026025742292,0.037055462598801
1.08,0.9016674757004,0.440081488341093,0-180,0,0.440081488341093,0.048122182488442
1.2,1.0385620594024,0.488203670829535,0-180,0,0.488203670829535,0.065867137163877
1.32,1.1714708805084,0.554070807993412,0-180,0,0.554070807993412,0.038950424641371
1.44,1.284692287445,0.593021232634783,0-180,0,0.593021232634783,0.0476038083434099
1.56,1.4217746257782,0.640625040978193,0-180,0,0.640625040978193,0.035810470581055
1.68,1.5311175584793,0.676435511559248,0-180,0,0.676435511559248,0.0421290285885331
1.8,1.6535979509353,0.718564540147781,0-180,0,0.718564540147781,0.046650599688292
1.92,1.7686593532562,0.765215139836073,0-180,0,0.765215139836073,0.040268246084452
2.04,1.8833076953888,0.805483385920525,0-180,0,0.805483385920525,0.0414487905800339
2.16,2.0004880428314,0.846932176500559,0-180,0,0.846932176500559,0.04176739603281
2.28,2.1180063486099,0.888699572533369,0-180,0,0.888699572533369,0.048359297215939
2.4,2.2431474924087,0.937058869749308,0-180,0,0.937058869749308,0.0503760762512681
2.52,2.3632353544235,0.987434946000576,0-180,0,0.987434946000576,0.0472056679427639
2.64,2.487062215805,1.03464061394334,0-180,0,1.03464061394334,0.04972349852323
2.76,2.6227337121963,1.08436411246657,0-180,0,1.08436411246657,0.04110718145967
2.88,2.7444738149643,1.12547129392624,0-180,0,1.12547129392624,0.0497923232615001
3,2.8753495216369,1.17526361718774,0-180,0,1.17526361718774,0.0488201156258601
3.12,3.0052757263183,1.2240837328136,0-180,0,1.2240837328136,0.0482624396681799
3.24,3.1253904104233,1.27234617248178,0-180,0,1.27234617248178,0.0543530099093901
3.36,3.254479765892,1.32669918239117,0-180,0,1.32669918239117,0.04849638789892
3.48,3.3848404884338,1.37519557029009,0-180,0,1.37519557029009,0.05302205681801
3.6,3.5266542434692,1.4282176271081,0-180,0,1.4282176271081,0.04051383584737
3.72,3.6502289772033,1.46873146295547,0-180,0,1.46873146295547,0.05454327911139
3.84,3.776239156723,1.52327474206686,0-180,0,1.52327474206686,0.0614024698734301
3.96,3.9158749580383,1.58467721194029,0-180,0,1.58467721194029,0.0198129564523699
4,3.9589458703995,1.60449016839266,0-180,0,1.60449016839266,0.0325657427310899
4.08,4.0448248386383,1.63705591112375,0-180,0,1.63705591112375,0.0200403854250901
4.2,4.1539692878723,1.65709629654884,0-180,0,1.65709629654884,0.0444373115897199
4.32,4.2634624242782,1.70153360813856,0-180,0,1.70153360813856,0.04008207470179
4.44,4.3814152479172,1.74161568284035,0-180,0,1.74161568284035,0.0735813751816701
4.56,4.5283681154251,1.81519705802202,0-180,0,1.81519705802202,0.05383267998696
4.68,4.6617168188095,1.86902973800898,0-180,0,1.86902973800898,0.0526271760463701
4.8,4.7973614931106,1.92165691405535,0-180,0,1.92165691405535,0.0445934012532199
